max_value,0.9683769958146023,0.9967488021902806,0.9945753517545347,1.0,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9959497088853261,1.0,0.9649160110567723,0.9996818495148205,0.9946853781703326,1.0,0.9958618704345635,0.9440834214901013,0.9563686466625843,0.8611494252873564,0.7917707567964731,0.6429398893036427,0.6351133688514434
index_set,9,19,13,19,0,0,5,19,5,0,5,29,33,73,33,73,60,13,57,99,129,64
mean_value,0.663147971585678,0.6907140103828504,0.6827269740943143,0.6576750117004564,0.722167731710225,0.6933922582607491,0.6668028317011195,0.7146546683263031,0.6698317252615786,0.5267524122787076,0.39197759040890046,0.6680384045783845,0.7082329144142028,0.6629367733676864,0.6616201881008821,0.6634842838447598,0.6723149573779523,0.6333939916057695,0.5337131104690953,0.43178121099995953,0.373458786028482,0.34569431926505445

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.7718406593406594,0.8895893678650537,0.7888642942278222,0.8929645219482862,1.0,0.9978597722797705,0.6723358841027272,0.8885315277190012,0.9994910941475827,0.9959497088853261,0.9992399932443844,0.8265297707405574,0.9849632022025732,0.89189600121636,0.8610074892502206,0.8571859553038917,0.7345098039215686,0.41551904264412576,0.5664544627777056,0.38123515439429934,0.4323149855148801,0.3253343823760818,0.994157,0.00875338,0.224858,30,0.00504655,0.0458964,0.410341,4,1.40621
1,0.4151895282247069,0.4332143388368288,0.43196878221175083,0.43266620122566135,0.373164820383976,0.3900493250433351,0.3574356972033774,0.3683381915109192,0.37733553210906357,0.396346479961047,0.48975543879639594,0.37457085760158504,0.32116999710396754,0.3432270864332889,0.3690019193857965,0.4040784542755633,0.3879299071531319,0.3614104444302748,0.39892652498730685,0.27125247493134064,0.2511832087248782,0.3224222585924713,0.738029,0.00466335,0.992091,0.00354628,0.0511703,69,0.00978365,0.014475,0.464042
2,0.7166254635352287,0.5539945836154367,0.39871656539269695,0.2713351686166552,0.44719124047878134,0.5349790929559344,0.5970379884007947,0.47253491324587393,0.0,0.0,0.0,0.4020082797498459,0.34569339972454705,0.3459081229084271,0.3467904007565906,0.4284509959775513,0.5199808184143222,0.6873005743458839,0.4777760569924113,0.28614032334013495,0.006057707635899856,0.07664058757783809,13,1.44676,0.143951,0.00674522,0.99686,0.0476075,0.147322,64,0.00796646
3,0.7571755828055518,0.8053366514585926,0.8272549113331102,0.9764527794130015,0.9940844403880608,0.8613088062880827,0.8962244828292483,0.8927817644575771,0.9413476696713691,0.9875334672021419,0.8270934999024009,0.8583170917718838,0.9721975437679644,0.8704933586337761,0.9924326861031266,0.8417946775045348,0.8717555121406643,0.6439709558385907,0.5372692044677456,0.5053344040380865,0.3227772135536885,0.34181636726546905,0.0338809,0.207182,95,2.25981,0.459163,0.0018037,0.983979,0.0159063,0.260987
4,0.26640794916627575,0.2636522053997782,0.2768323372129601,0.24558991497102245,0.23418860592160795,0.2391356976090534,0.21989686001035902,0.22285935245352773,0.2559346697652195,0.34044332915098285,0.3962492544121259,0.242990854376834,0.22818930041152263,0.21490068525336392,0.21703516975516512,0.20867724974112012,0.273871109162648,0.2956879822028684,0.29324504670978335,0.24888474925241433,0.30237960695674015,0.2118050147952032,7,0.00359776,0.0353935,0.318001,63,0.784331,0.448631,0.00974058,0.993934
5,0.5344548997243608,0.7826053581024027,0.9568881156898988,0.9974229018125591,1.0,0.9978597722797705,0.9987044865675713,0.8603156524568825,1.0,0.9959497088853261,1.0,0.8468655425853869,0.9986228084114624,0.9029599615411029,0.9813840789551445,0.8893838337627314,0.6720996038483305,0.685993883792049,0.32542438271604934,0.3926568077511474,0.3701058852499385,0.24196645755985147,0.00128995,0.0557634,53,0.00400517,0.0281593,0.455237,84,2.2117,0.109188
6,0.85720823798627,0.9010558310670292,0.8877447670492911,0.7734074390765284,0.9974561611776278,0.9978597722797705,0.7162704960003641,0.8815667033245919,0.9600101669067186,0.8768404129294297,0.9981863427390443,0.8584459168746235,0.8900936161210133,0.8914893617021277,0.8918647867382455,0.8754601669834701,0.7852422907488987,0.6933778519755147,0.6117450955250674,0.47005444646098005,0.43075381918357125,0.45369744491009867,0.00781392,0.995322,0.00603057,0.0549116,15,0.00302569,0.0464459,0.299975,78
7,0.5725056546871072,0.43610466511962875,0.5049112801013942,0.3146048613144794,0.4757679863913812,0.5586533826128877,0.547094520044134,0.5963715114616108,0.22880187220527393,0.011886697015680348,0.0,0.2986188876446435,0.3586192369467337,0.419087996985114,3.1024243230071136E-4,0.34881320949432404,0.5148346303501945,0.4156479217603912,0.525746589652206,0.3689670076357874,0.31881982240045836,0.269609944277754,1.95031,0.761355,0.00129414,0.990274,0.0174002,0.157951,64,0.00459508,0.0266583
8,0.5327617881200245,0.49101034906156815,0.6273133976924888,0.5498673991286229,0.4895947790763493,0.6250383418780947,0.5623634506259834,0.48838458994709,0.5909148264984228,0.6055615412241547,0.6337661618538719,0.5222657295036117,0.532747214983247,0.4984078847611827,0.4874520990002017,0.5253694695084521,0.6947014297729184,0.4747207281754241,0.4542578659370725,0.4354156499105255,0.25198880377136124,0.355630747874371,0.219555,74,1.17264,0.438149,0.0021795,0.986057,0.0412091,0.145943,57
9,0.9683769958146023,0.8941912268677176,0.7892674616695059,0.8952717250882783,0.9234902067464635,0.8842656142759094,0.8962244828292483,0.8832416419805332,0.664714867617108,0.893586376344997,0.8092622327389504,0.8565297363580625,0.8920939604432897,0.8679076665652571,0.861363150772737,0.8588875773853973,0.8858584266120132,0.7962667517549458,0.794501612655506,0.39675240695502223,0.49190592547342704,0.14363183350432362,0.00255297,0.0120362,0.297269,27,2.90688,0.487483,0.00347156,0.988655,0.00490112
10,0.8624712202609364,0.8794003705575206,0.7892048356887451,0.890974543584469,0.8782989708230019,0.9721770396370174,0.8964271103231966,0.8880805346417393,0.9668573850392033,0.7338812166398374,0.0,0.86637076618116,0.8912249112958746,0.8652121027824236,0.872439341165358,0.8821010081566854,0.9291982745798006,0.7885921946595038,0.8091776465243071,0.6067313523347484,0.4656309541257512,0.3761519920601163,0.209305,1,0.00601551,0.0491529,0.294389,68,2.1381,0.499537,0.000183626
11,0.3576897570386447,0.4205361971722167,0.47449718889468495,0.4249990005197297,0.39251671646037845,0.33151104835692646,0.388229289397488,0.37354502508157605,0.33447815844001016,0.3920741429710337,0.41472005607640405,0.33700580270793035,0.36727935088590824,0.29448713045695285,0.2966027779117012,0.26989529391495437,0.37426370638876305,0.3611947636900006,0.31148259797204714,0.3206441333788551,0.3074133763094279,0.29288821103767726,0.997939,0.0208783,0.0684621,20,0.00802535,0.037806,0.111389,8,1.20415
12,0.6629825889477668,0.6988847583643123,0.621414805577599,0.48596387074887626,0.5239438534479829,0.4809540150995195,0.6381511572335632,0.687156506299146,0.6412084181941615,0.0,0.0,0.5911906984638886,0.6920712317150731,0.5254192174607399,0.6263309458760984,0.5038720538720538,0.8337549184935357,0.7362421383647799,0.7666864431919311,0.23851067144415017,0.14482865560552027,0.32511579261915435,0.79869,0.000426314,0.99167,0.0367654,0.176292,33,0.00540238,0.0131259,0.401899
13,0.8749299719887955,0.9960670314637483,0.9945753517545347,0.9989675643121397,1.0,0.724691146190803,0.9987044865675713,0.8950486669487939,0.794806517311609,0.8148054145516075,0.8912363728555734,0.8442101594493334,0.9025324333381205,0.8564040158198966,0.8936044449698546,0.8810905850333582,0.7400237060450414,0.9563686466625843,0.6872531985468331,0.5296846011131726,0.4684250188394876,0.3907203907203908,23,1.33478,0.6391,0.00417448,0.983391,0.0050302,0.131077,29,0.00820754
14,0.8342984409799554,0.8145226093944042,0.7448176120842038,0.7555423426484329,0.9779804120229653,0.8949897048730268,0.7938144329896908,0.8811194723936755,0.8555720025375344,0.8330248990578735,0.7263765429498252,0.9633183323427019,0.8855970109982634,0.870691618584877,0.8509512552065743,0.8868214448632686,0.8234173505275498,0.8357875948237394,0.6312888637648388,0.5428983417447729,0.49659348978046935,0.37122724603640633,0.0465388,0.261222,25,1.83105,0.0971776,0.00326327,0.988148,0.0434326,0.022835
15,0.6068154643284177,0.7202959150852364,0.737504971496752,0.7163498587207808,0.8283243669549052,0.8094127193427325,0.6007286269430052,0.8061365815547428,0.8478546317082468,0.893586376344997,0.8782430966880788,0.7233326736592123,0.8316643874895231,0.6735263108726695,0.7196402463337912,0.7504012351949292,0.606996910196352,0.6485484867201976,0.7475592747559274,0.3704622322435175,0.49139297848244623,0.23376796168174563,24,0.00033656,0.0381272,0.442966,28,1.3129,0.11202,0.00816949,0.996756
16,0.37467634985790965,0.4800769196368677,0.4895091164095372,0.48414623192311146,0.4960194305761706,0.3974250565996563,0.38926711658745294,0.4811666701994616,0.4551404853128991,0.44840139284583724,0.47290824397960973,0.41914336499684635,0.4161075306789088,0.4046595324542964,0.43802923251173076,0.37350093647791127,0.4461573168897579,0.5736801392380584,0.39275006813845736,0.36368868708831614,0.36707412967331476,0.3041318156090812,0.0295673,0.0304793,3,0.00682266,0.0460427,0.421447,54,0.348555,0.196669
17,0.7736784994574485,0.8603444014171542,0.8817907444668008,0.8814551004833375,0.8934367905668689,0.8949897048730268,0.8186963043774718,0.8941405259152786,0.9714454926181311,0.7335830947971038,0.0,0.8649133293484758,0.8801833605564044,0.870691618584877,0.8774157435776573,0.8803217673190059,0.8402871242709735,0.6686262376237624,0.7066706372840976,0.5001468428781204,0.4575289575289575,0.5080324244657333,0.00607715,0.985466,0.0215461,0.168465,45,0.00951325,0.0175293,0.343789,85
18,0.6899949469429005,0.8952331961591221,0.8040018906570033,0.6613700044241262,0.8144912964243072,0.6869943995021779,0.6032143910350929,0.8798137960220059,0.3816191446028513,0.10302465474879263,0.1886250316910335,0.7550477656856913,0.8647366500425739,0.7152697071912469,0.5979690513404079,0.7506530985636547,0.6578246392896782,0.7180228736689891,0.6333760136577038,0.2901341752170481,0.29580269607843135,0.08916001877053026,0.502812,0.233762,0.00636543,0.997038,0.0155088,0.282366,68,0.00347565,0.0241416
19,0.7998559077809798,0.9967488021902806,0.9449991632732749,1.0,1.0,0.8876973232669869,0.895995272512387,0.9974672857745884,1.0,0.8614015027768703,1.0,0.861725373656149,0.9993639014047178,0.959918230269402,0.861363150772737,0.8438175353798247,0.7684182015167931,0.4615749525616698,0.4939615129396151,0.3756868131868132,0.40259555048488305,0.24365262550490474,0.162893,67,2.27297,0.563776,0.00516029,0.986848,0.00926908,0.267358,59
20,0.7400652431791221,0.7260969334538627,0.8541401273885351,0.8231707317073171,0.9899017099771106,0.9978597722797705,0.9987044865675713,0.8927817644575771,0.8845735331045451,0.8259848069543425,0.8588017563595457,0.7642803315749811,0.9826948136565025,0.8892594557720003,0.9829638511932616,0.8849305222807858,0.7907402195327892,0.4334258558331231,0.3878777322999216,0.40784723541706247,0.2564028150620329,0.2645233168868375,0.00345737,0.0163584,0.348905,70,2.77653,0.306547,0.00115011,0.986434,0.042383
21,0.7958858236325945,0.8933949349760438,0.7896081771720613,0.7919214537938162,0.717423830250272,0.7374279637760702,0.7159827951116269,0.8885315277190012,0.7026900882552614,0.5018211079112316,0.0,0.8515331527911243,0.8920752716671084,0.8722809552783694,0.8666509043622177,0.8764724303230313,0.795505259802359,0.8816883728228464,0.6159744408945687,0.41210282612166693,0.39766081871345027,0.5916287819407431,0.172888,44,0.00103988,0.0421162,0.175852,64,1.70297,0.70506,0.000364678
22,0.7867276166456494,0.7780687674241784,0.7892048356887451,0.7882554650664381,0.9743728997657921,0.8893074223097337,0.7159827951116269,0.8815667033245919,0.857566765578635,0.7104973311869864,0.0,0.8729638886494873,0.8909418179893059,0.8714855623100304,0.8656002833195608,0.8754601669834701,0.8620742559067198,0.9267171042871978,0.633368918712826,0.5830061253337522,0.4327706635622818,0.5518552311435523,0.998322,0.0219796,0.234971,79,0.00056122,0.0255654,0.236246,61,1.29449
23,0.8556418455915944,0.871473877482891,0.8496416069344891,0.784623261370424,0.8748812593296241,0.8584881431384299,0.8964271103231966,0.8945943659588868,0.9526409344845099,0.8644353580913038,0.0,0.8571183091330871,0.889529044875522,0.8912861809617868,0.8645286800683841,0.8684432045022727,0.8540811673506612,0.7837625628140703,0.6491609695463021,0.572345390898483,0.41731827396466836,0.5009284387944579,0.132047,0.0090956,0.997362,0.00453285,0.0857743,86,0.00471262,0.0454367,0.395264
24,0.40810276679841895,0.37849940060644527,0.4957465277777777,0.41135896401329564,0.3580822436990715,0.4386336179962508,0.4104335222479518,0.4924825895472198,0.35695569859901555,0.46599146468462216,0.6506185720673722,0.3806364180365377,0.3879058474959878,0.40240706282909067,0.3706712611677183,0.34591585760517796,0.36775553213909373,0.4359653518505262,0.4263759557877205,0.38922675933970463,0.4317027758970887,0.3265541059094398,63,0.487245,0.341921,0.00587623,0.981242,0.00848034,0.104396,88,0.00212616
25,0.8372820742065266,0.8142545227698066,0.9304329439128826,0.822429156297664,0.9957674465851759,0.8841708757811831,0.9987044865675713,0.8871799205611426,0.9521976394940564,0.993142328242669,0.8838978065383646,0.8640279791862151,0.8855970109982634,0.870691618584877,0.8636122725398976,0.8868214448632686,0.8347942356262071,0.7021511307225593,0.6328991130820398,0.5538793103448276,0.4116276360247,0.48380046284391875,0.0303676,0.230178,6,1.26099,0.603067,0.00881436,0.997231,0.0488513,0.130123
26,0.6254493170381021,0.7110777421336427,0.9150031191515908,0.8015911918856755,0.740997910777928,0.8088265907986955,0.7360681555129689,0.7984129664021611,0.810535584395697,0.603414757839574,0.5353522554485555,0.782594535914601,0.7568310181651656,0.8102860099270828,0.7645563662038126,0.7493964170504575,0.6009987515605493,0.9212505530157794,0.7488214496169712,0.5493088988973442,0.3317307692307693,0.5073044602456367,41,0.00669543,0.0229728,0.332551,70,1.7846,0.663034,0.00714147,0.991323
27,0.85720823798627,0.8706019676504919,0.754885993485342,0.7862334330910645,0.924179286512857,0.8944439688382844,0.9240506329113924,0.8945943659588868,0.9535287638735914,0.8491902834008097,0.4236222466030889,0.8102006009908227,0.8900936161210133,0.8914893617021277,0.8915492127145132,0.8684432045022727,0.9181363903586126,0.728180700676091,0.6508627390020209,0.5573133899036387,0.5012305168170632,0.6214482126489459,0.0377226,0.144239,48,0.00639829,0.0279241,0.139216,37,0.375225,0.766485
28,0.9656824857010358,0.7901509951956074,0.7896081771720613,0.7919214537938162,0.8966267682263329,0.7663006177076184,0.8183928449511846,0.8694456199746086,0.6914035980991174,0.48682538337710757,0.0,0.8629957104088243,0.8923590858476059,0.8658541222999696,0.866828230287268,0.7862115481897237,0.8850212631910537,0.7505135092431664,0.638734297980601,0.626071768815497,0.5188428459734167,0.3830145371078807,0.00834867,0.989039,0.0374173,0.207166,81,0.00755589,0.0336914,0.45212,93
29,0.638165287567678,0.7556894243641231,0.9199289186222757,0.9703326090590005,0.9468937550689376,0.9617479124723588,0.9987044865675713,0.9074500768049155,0.9512431385211495,0.9705616314447825,0.9628544692623785,0.9649160110567723,0.9817481188325045,0.9853855954433036,0.8498629751949969,0.9952649812397358,0.6876169510181618,0.37610171940471027,0.33828370765966786,0.359349593495935,0.3219760007007094,0.24965928449744468,0.396085,0.777839,0.00947239,0.996167,0.00897158,0.180794,94,0.00835623,0.0405866
30,0.6338287679646235,0.6924221015839964,0.6459843290891283,0.5752880253703183,0.7260876065181642,0.7022995847971893,0.7627078357913323,0.5248789778589,0.030681532400033573,0.006840060800540448,0.0041313603979595825,0.6095348316284626,0.7189970795640714,0.6475245888089924,0.7485522002224052,0.5566712049012934,0.655668950090871,0.6766362660944206,0.5049764998617639,0.3528554778554779,0.2591537256019376,0.17723407429509175,0.363184,87,2.81646,0.224186,0.00559345,0.985852,0.0236687,0.233596,17
31,0.8715681712424383,0.8895893678650537,0.9927241962774958,0.8925045075985232,0.896169663188662,0.7913520933424846,0.8183928449511846,0.8950486669487939,0.8189069925322471,0.6132762856900789,0.01122173472831589,0.8560723514211886,0.8852207090244291,0.8718830773909076,0.8934460138289699,0.882483210167778,0.8710277476360254,0.8381859653830672,0.6148648648648649,0.4774816176470589,0.31329827197595794,0.37544589774078474,0.00614908,0.0431506,0.366489,92,0.560393,0.328305,0.00606496,0.990728,0.0241022
32,0.28460099750623447,0.13955653351387953,0.0,0.017827921798294732,0.13261697497279656,0.0,0.0,0.10272031137623217,0.0,0.0,0.0,0.0,0.08146596303269782,0.0,0.0,0.0,0.45219638242894056,0.2447092020692898,0.034889203206034836,0.11083163024681653,0.022727272727272707,0.0,0.0521224,49,0.000463661,0.0269188,0.339541,37,2.91766,0.51104,0.00243643
33,0.6466204326674257,0.846705221145231,0.9945753517545347,0.8966497287055378,0.9658434051497635,0.8949897048730268,0.9987044865675713,0.8950486669487939,0.8968092328581126,0.9602180279856818,1.0,0.8626301513693236,0.9996818495148205,0.959918230269402,1.0,0.8897694698046396,0.7804166666666666,0.5360824742268041,0.5629486471562672,0.6401558891454966,0.278589288064219,0.37595084844938564,0.989844,0.0293113,0.268518,92,0.0061934,0.0350073,0.243952,12,2.16029
34,0.7427735089645079,0.6003128666405945,0.5984848484848485,0.544146592932796,0.6605499470132188,0.6705800491516892,0.6280605462887526,0.5702084903290631,0.8636950097806634,0.7304499333811623,0.652620551174228,0.5030393393737814,0.5152641504277242,0.5873015873015873,0.6634639894899901,0.5232041438788388,0.5969404015722937,0.7469320562705777,0.4973386870856289,0.41193785772690106,0.3823087203474774,0.36153973784635807,0.711784,0.00652202,0.997693,0.0333525,0.179112,80,0.00869531,0.017323,0.185576
35,0.5067042102440332,0.4233847497089639,0.38243584037976563,0.15648066135222916,0.4663773673764591,0.2979999660147157,0.23410937393322861,0.22500722632861214,0.04405065407280473,0.025289955198258163,0.0,0.3414570910033705,0.1543769663961082,0.001387331572245798,0.010456651224354685,0.0024547850258113124,0.5340939961966857,0.4669037199124726,0.6177152797912439,0.3289600883855821,0.268993250035904,0.07411369193154038,49,2.62876,0.749182,0.00186132,0.985818,0.00250865,0.044259,59,0.00235575
36,0.5973084886128364,0.11719952128568989,0.25686040565876944,0.25848821736704297,0.13261697497279656,0.26336650652024707,0.131016590428074,0.0,0.0,0.0,0.0,0.0,0.13348182324397417,0.0,0.0,0.0,0.4492298019490726,0.4323524832632726,0.34749524413443245,0.07514358647096364,0.23102866779089382,0.0568743030109925,0.0488755,0.457908,75,0.685151,0.752676,0.00524283,0.980424,0.0448945,0.182556
37,0.6894820619566548,0.7592738132662684,0.6295611765327138,0.5385217051231912,0.600722074860006,0.5962510636167977,0.45976592064006916,0.7972830886991631,0.5371385842472582,0.052377352150537626,0.0,0.6585798161072338,0.632552910910781,0.6279178802301626,0.7518288839043556,0.6485568020912755,0.6594249201277955,0.7081550628808505,0.653250773993808,0.4851186196980589,0.1383535036605409,0.5821322477720321,56,0.00785184,0.0368571,0.371393,73,2.73376,0.555765,0.00400713,0.993917
38,0.4596380802517702,0.14528447610057493,0.33503778194420775,0.19522066738428423,0.44719124047878134,0.310312285518188,0.35365697723979206,0.3641933575593679,0.2063815342837746,0.0,0.0,0.23869546055531066,0.3148074435267191,0.3459081229084271,0.0,0.1594199407414545,0.4551361386138614,0.42531763247598386,0.44416601409553647,0.11701454775458575,0.10930342757858158,0.09255725190839692,0.0401768,0.120905,9,0.00485052,0.031939,0.441252,53,1.37294,0.696019
39,0.5498721227621484,0.5688156601919734,0.5508124076809453,0.5542405468916898,0.4630829235204341,0.5308853809196981,0.4485252313919905,0.5027562014532698,0.10850315637842645,7.621305783723775E-4,0.0,0.5822420321868097,0.5099797377553159,0.4654095837829233,0.4250253367213548,0.5958883784970741,0.6996973285958679,0.6104697986577181,0.5878598990798456,0.4426229508196722,0.26706276660572825,0.35333948907356105,0.00228232,0.99551,0.0394348,0.292234,36,0.00205106,0.0204603,0.431254,84
40,0.3900124671007065,0.6475136807042589,0.490310740614016,0.422112462006079,0.39677345010371057,0.47964747654070505,0.4412910798122066,0.6234893430015381,0.6053066197373764,0.6580146909386523,0.6222625698324022,0.4091683063417587,0.4443696266458246,0.48557948479476076,0.41953418094235695,0.42610438138165274,0.4506646410938093,0.5088569518716577,0.4530214127867104,0.4525194592380172,0.33975008443093546,0.3455425960030012,2.71182,0.121409,0.00284175,0.997558,0.00384346,0.283616,28,0.00629624,0.0244237
41,0.9190819479181992,0.872056121596793,0.7564465237732565,0.7862334330910645,0.9974561611776278,0.8321894303363075,0.9987044865675713,0.8945943659588868,0.9792002033381344,0.68455807653234,0.4199106841927873,0.8711619506321493,0.8900936161210133,0.8914893617021277,0.8918647867382455,0.8819736810450598,0.9190819479181992,0.7684774292272379,0.6136150234741784,0.5561591543092057,0.5546637143647938,0.4641290505164851,0.125117,19,0.799152,0.293146,0.00551533,0.98169,0.0133975,0.0948693,4
42,0.4567856098274349,0.473038817605977,0.4320030895983522,0.4755780376415655,0.5239265989666845,0.5119286040546713,0.5262647312446105,0.5134224418735258,0.5417183836712178,0.5382984060383554,0.6192200860519579,0.5129190496643081,0.4722754543518831,0.4399936417103799,0.48707669053874114,0.49931440942987737,0.458865873365653,0.38510566923851053,0.30349525689183166,0.3757002271006813,0.3193415637860082,0.2350151885604208,0.00166689,0.0211225,0.1143,26,1.73652,0.423804,0.00237401,0.98131,0.0445595
43,0.8673973448595246,0.8901960784313725,0.7888642942278222,0.8036121264244249,0.9782372143634385,0.7574639670555937,0.9987044865675713,0.8820143884892087,0.9550661914460286,0.6521260376079959,0.0,0.86449004434397,0.891791637963012,0.89189600121636,0.8934460138289699,0.8759721653704462,0.8727865796831314,0.6750590086546027,0.42136262336835406,0.2975778546712803,0.3943639798488665,0.5773163441875098,0.100462,77,0.00550225,0.013744,0.397349,73,2.09649,0.271094,0.00897893
44,0.7124771897810219,0.9606662818504165,0.9396220371556694,0.883853413825355,0.9969489456912333,0.8949897048730268,0.8964271103231966,0.8945943659588868,0.9967856538656742,0.9933512876620098,0.8737604083852881,0.8693674362715647,0.9974604518279456,0.8714855623100304,0.9550907499929432,0.853817526178313,0.8226231235185673,0.5583664208735111,0.4366500342432247,0.45770308123249304,0.3652470187393526,0.32107180632271715,0.994652,0.0462834,0.0921924,39,0.00847104,0.0222636,0.19119,22,1.36164
45,0.5337194869673149,0.7006950153202302,0.49590519317853354,0.49536536381894025,0.5783460465741457,0.649203748418995,0.5536755858065345,0.7161134881402401,0.56046502337102,0.14456944160359997,0.15243035221283363,0.65420012466542,0.6208674831936642,0.6077633796269394,0.6622026406095505,0.6093314391309457,0.4836336496428191,0.5318311091664844,0.5325581395348837,0.46295387634936214,0.4519706078824315,0.3277717325595454,0.225772,0.00640984,0.990109,0.0257853,0.200914,77,0.00333733,0.0103868,0.385276
46,0.7470087742621643,0.7343878389482333,0.8861919305577881,0.9962247962247962,0.8121227054330418,0.8944439688382844,0.9987044865675713,0.8950486669487939,0.8937753721244925,0.9585025174598019,0.9597725181901815,0.876135282415016,0.9981998199819982,0.8685714285714285,0.9993502274204029,0.9630669295905347,0.7763141543432335,0.5492861222158767,0.493551912568306,0.4997591522157996,0.3348355114916629,0.2012380416432189,82,2.37477,0.188616,0.00387747,0.995876,0.038122,0.195113,12,0.007196
47,0.48130493073141667,0.3391951301995265,0.39452770208901,0.1832228630455367,0.2661180631120783,0.1703014093200288,0.3119410118112924,0.29957041778975746,0.20730310869841806,0.0,0.0,0.3973556632877919,0.13313531003023393,0.24003650745360516,0.049207944201442255,0.0,0.5393659770799226,0.48932496075353216,0.456881601765726,0.14524074368345785,0.08955460453320652,0.009532888465204947,0.0109198,0.240314,90,2.0315,0.153401,0.0038179,0.986682,0.0470637,0.0368154
